"","event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank_ordinal","rank","qualified","winner","participant_link","event_link"
"1","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Eric Papilaya","Get A Life - Get Alive","Austria",27,4,"27th",27,FALSE,FALSE,"https://eurovision.tv/participant/eric-papilaya","https://eurovision.tv/event/helsinki-2007"
"2","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","The KMGu0027s","Love Power","Belgium",24,14,"26th",26,FALSE,FALSE,"https://eurovision.tv/participant/the-kmg-s","https://eurovision.tv/event/helsinki-2007"
"3","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Gerli Padar","Partners In Crime","Estonia",23,33,"22nd",22,FALSE,FALSE,"https://eurovision.tv/participant/gerli-padar","https://eurovision.tv/event/helsinki-2007"
"4","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Anonymous","Salvem El Mu00f3n","Andorra",21,80,"12th",12,FALSE,FALSE,"https://eurovision.tv/participant/anonymous","https://eurovision.tv/event/helsinki-2007"
"5","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Olivia Lewis","Vertigo","Malta",20,15,"25th",25,FALSE,FALSE,"https://eurovision.tv/participant/olivia-lewis","https://eurovision.tv/event/helsinki-2007"
"6","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Guri Schanke","Ven A Bailar Conmigo","Norway",19,48,"18th",18,FALSE,FALSE,"https://eurovision.tv/participant/guri-schanke","https://eurovision.tv/event/helsinki-2007"
"7","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Sabrina","Danu00e7a Comigo (vem Ser Feliz)","Portugal",17,88,"11th",11,FALSE,FALSE,"https://eurovision.tv/participant/sabrina","https://eurovision.tv/event/helsinki-2007"
"8","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Kabu00e1t","Malu00e1 Du00e1ma","Czech Republic",16,1,"28th",28,FALSE,FALSE,"https://eurovision.tv/participant/kabat","https://eurovision.tv/event/helsinki-2007"
"9","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","The Jet Set","Time To Party","Poland",14,75,"14th",14,FALSE,FALSE,"https://eurovision.tv/participant/the-jet-set","https://eurovision.tv/event/helsinki-2007"
"10","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Dragonfly feat. Dado Topic","Vjerujem U Ljubav","Croatia",13,54,"16th",16,FALSE,FALSE,"https://eurovision.tv/participant/dragonfly-feat-dado-topic","https://eurovision.tv/event/helsinki-2007"
"11","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","DQ ","Drama Queen","Denmark",12,45,"19th",19,FALSE,FALSE,"https://eurovision.tv/participant/dq","https://eurovision.tv/event/helsinki-2007"
"12","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Aida u0026 Frederik Ndoci","Hear My Plea","Albania",11,49,"17th",17,FALSE,FALSE,"https://eurovision.tv/participant/aida-frederik-ndoci","https://eurovision.tv/event/helsinki-2007"
"13","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Edsilia Rombley","On Top Of The World","Netherlands",10,38,"21st",21,FALSE,FALSE,"https://eurovision.tv/participant/edsilia-rombley-1","https://eurovision.tv/event/helsinki-2007"
"14","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","DJ BoBo","Vampires Are Alive","Switzerland",8,40,"20th",20,FALSE,FALSE,"https://eurovision.tv/participant/dj-bobo","https://eurovision.tv/event/helsinki-2007"
"15","Helsinki 2007","Helsinki","Finland","2007","Semi-Final","Stevan Faddy","Ajde Kroci","Montenegro",7,33,"22nd",22,FALSE,FALSE,"https://eurovision.tv/participant/stevan-faddy","https://eurovision.tv/event/helsinki-2007"
